Distance_(microns),Gray_Value
0.000,4570.458
1.168,4605.259
2.337,4641.711
3.505,4650.024
4.673,4504.018
5.842,4556.890
7.010,4411.097
8.178,4249.970
9.347,4005.073
10.515,4015.914
11.683,4105.523
12.852,4276.394
14.020,4447.189
15.188,4565.567
16.357,4724.547
17.525,4839.265
18.693,4631.148
19.862,4570.815
21.030,4476.472
22.198,4293.075
23.367,4205.744
24.535,4168.261
25.703,4381.218
26.872,4541.336
28.040,4512.542
29.208,4544.848
30.377,4556.966
31.545,4545.271
32.713,4595.496
33.882,4649.329
35.050,4706.364
36.219,4963.131
37.387,5012.977
38.555,5143.634
39.724,5182.851
40.892,5225.235
42.060,5322.531
43.229,5297.078
44.397,5282.525
45.565,5222.157
46.734,5019.822
47.902,4957.858
49.070,4833.360
50.239,4873.298
51.407,4953.851
52.575,5039.414
53.744,5104.985
54.912,5048.895
56.080,4871.468
57.249,4785.097
58.417,4655.847
59.585,4674.728
60.754,4797.136
61.922,4797.278
63.090,4825.870
64.259,5066.519
65.427,5132.869
66.595,5097.439
67.764,5016.641
68.932,4786.834
70.100,4697.386
71.269,4794.513
72.437,4724.940
73.605,4728.167
74.774,4854.243
75.942,4893.872
77.110,4988.690
78.279,5032.929
79.447,5000.022
80.615,4832.622
81.784,4572.743
82.952,4594.388
84.120,4668.305
85.289,4768.250
86.457,4775.494
87.625,4915.857
88.794,5109.748
89.962,5433.695
91.130,5336.368
92.299,5174.058
93.467,4984.886
94.635,4723.738
95.804,4716.090
96.972,5000.811
98.140,5202.170
99.309,5189.480
100.477,5359.207
101.645,5397.724
102.814,5331.438
103.982,5321.085
105.151,5256.982
106.319,5094.497
107.487,5179.733
108.656,5240.855
109.824,5255.544
110.992,5393.719
112.161,5235.615
113.329,5084.592
114.497,4996.896
115.666,4969.470
116.834,4903.125
118.002,4894.074
119.171,5040.847
120.339,5196.735
121.507,5198.293
122.676,5272.679
123.844,5198.656
125.012,5364.487
126.181,5579.560
127.349,5582.896
128.517,5785.223
129.686,5562.884
130.854,5175.782
132.022,5246.794
133.191,5327.474
134.359,5474.335
135.527,5567.579
136.696,5581.274
137.864,5616.706
139.032,5847.669
140.201,5867.479
141.369,5946.425
142.537,6070.441
143.706,6235.028
144.874,6399.715
146.042,6414.448
147.211,6689.639
148.379,6530.203
149.547,6140.423
150.716,5934.733
151.884,5828.627
153.052,5859.375
154.221,5853.203
155.389,6012.165
156.557,6156.289
157.726,6319.399
158.894,6375.892
160.062,6190.452
161.231,6140.032
162.399,5937.494
163.567,5635.748
164.736,5389.675
165.904,5400.047
167.072,5371.731
168.241,5553.336
169.409,5507.661
170.577,5449.833
171.746,5387.208
172.914,5348.144
174.083,5080.052
175.251,5343.524
176.419,5623.540
177.588,5865.739
178.756,5957.240
179.924,5782.316
181.093,5773.893
182.261,5560.959
183.429,5520.896
184.598,5553.907
185.766,5699.550
186.934,5774.302
188.103,5696.107
189.271,5877.226
190.439,6043.523
191.608,5794.340
192.776,5550.095
193.944,5609.353
195.113,5806.570
196.281,5773.028
197.449,5863.944
198.618,6172.564
199.786,6397.848
200.954,6327.235
202.123,6075.521
203.291,5818.985
204.459,5879.715
205.628,6075.975
206.796,6210.610
207.964,6390.567
209.133,6439.576
210.301,6344.550
211.469,6109.667
212.638,5795.414
213.806,5934.736
214.974,5951.234
216.143,6120.478
217.311,6197.300
218.479,6344.273
219.648,6372.062
220.816,6407.563
221.984,6175.037
223.153,6021.314
224.321,6138.448
225.489,6337.912
226.658,6346.785
227.826,6605.304
228.994,6882.253
230.163,6816.457
231.331,6499.737
232.499,6043.529
233.668,5934.896
234.836,6010.683
236.004,6169.022
237.173,6417.812
238.341,6438.816
239.509,6360.947
240.678,6459.694
241.846,6570.420
243.014,6869.521
244.183,6721.439
245.351,6868.720
246.520,6790.100
247.688,6543.266
248.856,6262.701
250.025,6129.033
251.193,6028.638
252.361,6201.421
253.530,6346.508
254.698,6487.040
255.866,6455.654
257.035,6418.039
258.203,6161.657
259.371,5917.991
