Distance_(microns),Gray_Value
0.000,4948.225
0.951,4646.599
1.901,4341.938
2.852,4008.307
3.802,3987.033
4.753,4059.099
5.703,4295.121
6.654,4663.062
7.604,4880.123
8.555,4786.625
9.505,4775.004
10.456,4706.170
11.406,4372.576
12.357,4019.189
13.307,3920.445
14.258,3926.315
15.209,3890.749
16.159,3976.665
17.110,4274.528
18.060,4304.027
19.011,4268.825
19.961,4096.290
20.912,4018.737
21.862,3852.212
22.813,3932.706
23.763,4037.277
24.714,4211.289
25.664,4374.948
26.615,4436.232
27.565,4406.453
28.516,4354.728
29.467,4248.047
30.417,4258.231
31.368,4325.840
32.318,4422.951
33.269,4297.145
34.219,4347.177
35.170,4197.276
36.120,3987.120
37.071,3949.357
38.021,3971.574
38.972,3925.360
39.922,4008.811
40.873,4044.222
41.823,3875.278
42.774,3855.656
43.724,3932.692
44.675,4097.254
45.626,4055.713
46.576,3960.657
47.527,3956.699
48.477,3800.908
49.428,3854.125
50.378,3885.917
51.329,3796.364
52.279,3563.352
53.230,3474.071
54.180,3430.927
55.131,3464.748
56.081,3724.194
57.032,3900.903
57.982,3982.783
58.933,3894.663
59.884,3874.622
60.834,3755.682
61.785,3759.387
62.735,3731.680
63.686,3748.540
64.636,3735.809
65.587,3781.894
66.537,3755.766
67.488,3825.559
68.438,3866.350
69.389,3845.009
70.339,3606.028
71.290,3578.695
72.240,3410.500
73.191,3471.059
74.142,3574.279
75.092,3728.026
76.043,3716.667
76.993,3679.572
77.944,3744.763
78.894,3672.318
79.845,3626.781
80.795,3671.823
81.746,3539.927
82.696,3475.593
83.647,3463.033
84.597,3560.813
85.548,3569.459
86.498,3496.365
87.449,3522.745
88.400,3599.049
89.350,3695.869
90.301,3600.678
91.251,3538.493
92.202,3552.733
93.152,3703.763
94.103,3764.904
95.053,3666.433
96.004,3595.932
96.954,3551.988
97.905,3421.390
98.855,3251.891
99.806,3188.550
100.756,3336.642
101.707,3306.839
102.658,3318.851
103.608,3324.638
104.559,3434.738
105.509,3401.332
106.460,3333.916
107.410,3270.137
108.361,3214.558
109.311,3168.379
110.262,3211.585
111.212,3363.295
112.163,3403.456
113.113,3445.681
114.064,3533.620
115.014,3516.874
115.965,3550.868
116.915,3593.411
117.866,3486.225
118.817,3435.067
119.767,3285.154
120.718,3269.811
121.668,3255.759
122.619,3179.302
123.569,3185.223
124.520,3276.911
125.470,3411.821
126.421,3369.564
127.371,3436.628
128.322,3360.696
129.272,3258.832
130.223,3297.604
131.173,3364.670
132.124,3284.177
133.075,3186.347
134.025,3260.793
134.976,3262.161
135.926,3426.725
136.877,3608.184
137.827,3654.021
138.778,3478.116
139.728,3359.830
140.679,3417.284
141.629,3430.443
142.580,3414.443
143.530,3244.559
144.481,3078.242
145.431,3046.642
146.382,3099.231
147.333,3120.795
148.283,3234.748
149.234,3255.302
150.184,3240.145
151.135,3182.497
152.085,3237.714
153.036,3246.436
153.986,3237.115
154.937,3213.166
155.887,3091.781
156.838,3073.732
157.788,3108.639
158.739,3204.703
159.689,3234.677
160.640,3182.774
161.590,3228.657
162.541,3243.675
163.492,3324.231
164.442,3280.835
165.393,3218.486
166.343,3183.166
167.294,3240.031
168.244,3460.375
169.195,3465.006
170.145,3270.411
171.096,3200.729
172.046,3084.014
172.997,3071.150
173.947,3181.329
174.898,3126.426
175.848,3126.688
176.799,3122.251
177.750,3062.175
178.700,3181.819
179.651,3312.400
180.601,3239.923
181.552,3143.877
182.502,3121.694
183.453,3151.173
184.403,3199.162
185.354,3206.543
186.304,3248.198
187.255,3250.217
188.205,3230.995
189.156,3230.779
190.106,3225.648
191.057,3303.113
192.008,3390.174
192.958,3309.027
193.909,3249.558
194.859,3320.672
195.810,3354.191
196.760,3428.740
197.711,3537.045
198.661,3447.876
199.612,3346.361
200.562,3201.240
201.513,3148.276
202.463,3168.282
203.414,3139.171
204.364,3263.334
205.315,3343.805
206.266,3359.213
207.216,3382.427
208.167,3362.530
209.117,3266.397
210.068,3266.437
211.018,3338.318
211.969,3357.637
212.919,3324.752
213.870,3289.241
214.820,3282.651
215.771,3227.899
216.721,3168.174
217.672,3169.859
218.622,3176.203
219.573,3278.359
220.524,3347.974
221.474,3433.757
222.425,3566.453
223.375,3400.794
224.326,3453.356
225.276,3429.579
226.227,3392.597
227.177,3294.898
228.128,3275.941
229.078,3320.251
230.029,3213.444
230.979,3226.149
231.930,3153.021
232.880,3142.435
233.831,3012.298
234.781,3025.510
235.732,3123.496
236.683,3251.995
237.633,3340.229
238.584,3397.822
239.534,3436.978
240.485,3450.442
241.435,3357.510
242.386,3360.052
243.336,3429.368
244.287,3384.513
245.237,3245.576
246.188,3175.181
247.138,3063.513
248.089,3040.103
249.039,3108.472
249.990,3126.530
250.941,3200.165
251.891,3351.314
252.842,3435.217
253.792,3610.361
254.743,3612.513
255.693,3570.417
256.644,3404.246
257.594,3215.113
258.545,3011.171
259.495,3007.943
260.446,2917.587
261.396,3014.536
262.347,3106.072
263.297,3147.001
264.248,3124.424
265.199,3156.913
266.149,3230.724
267.100,3283.713
268.050,3121.440
269.001,3027.804
269.951,2987.429
270.902,2926.257
271.852,2848.342
272.803,2935.300
273.753,2915.651
274.704,2935.614
275.654,2924.977
276.605,2968.453
277.555,2934.897
278.506,2857.948
279.457,3015.289
280.407,3213.848
281.358,3329.004
282.308,3319.454
283.259,3125.052
284.209,2978.010
285.160,3030.346
286.110,3055.393
287.061,3224.744
288.011,3262.544
288.962,3212.759
289.912,3199.146
290.863,3036.958
291.813,2936.705
292.764,2859.624
293.715,2951.778
294.665,3080.527
295.616,3179.196
296.566,3170.704
297.517,3165.714
298.467,3024.742
299.418,2859.620
300.368,2720.884
301.319,2658.640
302.269,2618.527
303.220,2686.438
304.170,2647.575
305.121,2726.612
306.071,2664.849
307.022,2787.503
307.973,2781.864
308.923,2884.319
309.874,2938.277
310.824,2969.042
311.775,3005.168
312.725,3040.762
313.676,2989.244
314.626,2848.399
315.577,2816.112
316.527,2937.640
317.478,2933.574
318.428,2881.027
319.379,2819.249
320.329,2753.521
321.280,2698.654
322.230,2860.386
323.181,3111.500
324.132,3069.724
325.082,3140.905
326.033,3098.687
326.983,3171.191
327.934,3180.112
328.884,3169.917
329.835,3158.909
330.785,3116.675
331.736,3125.466
332.686,3074.212
333.637,3090.781
334.587,3127.485
335.538,3073.125
336.488,3016.719
337.439,3017.167
338.390,3136.553
339.340,3088.025
340.291,3070.377
341.241,3070.626
342.192,3132.278
343.142,3155.399
344.093,3074.522
345.043,3077.372
345.994,3074.531
346.944,3073.042
347.895,3011.936
348.845,3051.951
349.796,3205.604
350.746,3195.772
351.697,3098.672
352.648,3054.602
353.598,3006.414
354.549,2922.646
355.499,2983.665
356.450,3218.279
357.400,3438.816
358.351,3476.467
359.301,3365.105
360.252,3308.818
361.202,3321.425
362.153,3297.326
363.103,3171.632
364.054,3046.715
365.004,2993.805
365.955,3130.994
366.906,3099.352
367.856,3134.812
368.807,3036.589
369.757,2983.635
370.708,2989.082
371.658,2995.610
372.609,3000.052
373.559,2960.567
374.510,3021.413
375.460,3095.415
376.411,3183.499
377.361,3264.571
378.312,3211.209
379.262,3205.923
380.213,3214.523
381.163,3188.765
382.114,3011.074
383.065,3011.585
384.015,3057.168
384.966,3054.302
385.916,3128.842
386.867,3048.968
387.817,2998.872
388.768,2979.228
389.718,3057.533
390.669,3099.385
391.619,3191.936
392.570,3241.559
393.520,3275.277
394.471,3128.987
395.421,3042.910
396.372,2907.894
397.323,2984.897
398.273,3086.659
399.224,3267.408
400.174,3199.039
401.125,3207.059
402.075,3049.589
403.026,2897.522
403.976,2840.080
404.927,2832.590
405.877,2862.305
406.828,2876.590
407.778,2868.219
408.729,2853.866
409.679,2860.512
410.630,2912.726
411.581,2997.880
412.531,3115.481
413.482,3164.906
414.432,3172.053
415.383,3110.832
416.333,3087.097
417.284,3047.349
418.234,3038.688
419.185,3063.049
420.135,3141.290
421.086,3146.138
422.036,3236.729
422.987,3368.969
423.937,3461.991
424.888,3461.636
425.839,3441.676
426.789,3538.848
427.740,3658.233
428.690,3585.229
429.641,3561.451
430.591,3422.053
431.542,3286.526
432.492,3290.020
433.443,3368.299
434.393,3474.842
435.344,3542.456
436.294,3620.144
437.245,3565.000
438.195,3665.026
439.146,3802.097
440.096,3815.508
441.047,3916.956
441.998,3945.857
442.948,4111.591
443.899,4014.521
444.849,4002.850
445.800,3866.792
446.750,3758.979
447.701,3864.276
448.651,4014.395
449.602,4153.755
450.552,4243.572
451.503,4362.029
452.453,4329.856
453.404,4253.283
454.354,4364.486
455.305,4404.623
456.256,4445.069
457.206,4419.439
458.157,4318.077
459.107,4233.789
460.058,4162.142
461.008,4097.899
461.959,4097.042
462.909,3998.416
463.860,3978.598
464.810,4177.457
465.761,4425.999
466.711,4756.266
467.662,4919.488
468.612,4867.953
469.563,4715.658
470.514,4615.978
471.464,4465.863
472.415,4396.880
473.365,4312.150
474.316,4226.260
475.266,4393.434
476.217,4675.346
477.167,4836.598
478.118,5064.538
479.068,5207.931
480.019,5208.891
480.969,5243.752
481.920,5373.416
482.870,5747.243
483.821,6172.394
484.772,6404.290
485.722,6482.154
486.673,6436.602
487.623,6303.176
488.574,6307.409
489.524,6234.213
490.475,6263.297
491.425,6378.099
492.376,6262.977
493.326,6078.519
494.277,5957.135
495.227,6020.549
496.178,6147.351
497.128,6251.500
498.079,6295.365
499.030,6322.749
499.980,6240.408
500.931,6500.886
501.881,7066.895
502.832,7481.482
503.782,7684.950
504.733,7844.604
505.683,7802.522
506.634,7549.477
507.584,7224.031
508.535,6906.485
509.485,7007.151
510.436,7047.773
511.386,7022.949
512.337,6938.479
513.287,6983.484
514.238,7081.707
515.189,7255.714
516.139,7596.708
517.090,7735.913
518.040,7717.496
518.991,7495.411
519.941,7320.091
520.892,7099.635
521.842,6792.857
522.793,6747.470
523.743,6894.550
524.694,6905.513
525.644,6879.133
526.595,6868.841
527.545,7248.273
528.496,7452.697
529.447,7274.000
530.397,6879.358
531.348,6577.828
532.298,6584.669
533.249,6610.217
534.199,6855.557
535.150,7188.269
536.100,7367.891
537.051,7443.413
538.001,7530.092
538.952,7468.923
539.902,7582.792
540.853,7534.030
541.803,7614.507
542.754,7807.123
543.705,7715.801
544.655,7477.060
545.606,7202.230
546.556,7218.858
547.507,7431.878
548.457,7596.824
549.408,7853.996
550.358,8135.585
551.309,8465.497
552.259,8372.860
553.210,8095.021
554.160,7874.857
555.111,7525.926
556.061,6934.956
557.012,6463.000
557.963,6202.399
558.913,6210.328
559.864,6426.676
560.814,6739.762
561.765,6960.980
562.715,7480.644
563.666,7484.324
564.616,7089.030
565.567,6717.138
566.517,6439.095
567.468,6078.482
568.418,5917.620
569.369,5930.479
570.319,6122.841
571.270,6420.019
572.221,6404.451
573.171,6291.104
574.122,6372.647
575.072,6471.749
576.023,6521.302
576.973,6573.356
577.924,6733.556
578.874,7003.548
579.825,7146.029
580.775,7504.496
581.726,7758.583
582.676,8020.919
583.627,8151.769
584.577,8251.169
585.528,8140.802
586.479,8249.742
587.429,8331.184
588.380,8536.314
589.330,8795.422
590.281,9007.538
591.231,9325.329
592.182,9782.312
593.132,9795.504
594.083,9505.328
595.033,9216.598
595.984,9182.412
596.934,9248.145
597.885,9279.263
598.835,9388.959
599.786,9539.111
600.736,9755.441
601.687,10095.104
602.638,10291.376
603.588,10432.808
604.539,10317.670
605.489,10416.802
606.440,10665.391
607.390,10890.059
608.341,11022.423
609.291,10945.898
610.242,10849.776
611.192,10826.710
612.143,10855.844
613.093,10998.044
614.044,10978.997
614.994,10603.967
615.945,10420.574
616.896,10623.137
617.846,10809.126
618.797,10620.667
619.747,10454.391
620.698,10590.382
621.648,10810.969
622.599,11048.612
623.549,11039.242
624.500,10924.012
625.450,11097.411
626.401,11172.414
627.351,11076.557
628.302,10892.615
629.252,10612.307
630.203,10399.406
631.154,10360.967
632.104,10453.382
633.055,10526.424
634.005,10600.412
634.956,10760.657
635.906,11128.555
636.857,11464.904
637.807,11410.226
638.758,10980.169
639.708,10403.325
640.659,9933.735
641.609,10011.833
642.560,10558.058
643.510,11201.437
644.461,11573.760
645.411,11570.124
646.362,11310.810
647.313,11139.132
648.263,11116.056
649.214,10964.699
650.164,10879.016
651.115,11066.552
652.065,11238.466
653.016,11370.100
653.966,11296.457
654.917,10812.935
655.867,10495.044
656.818,10394.517
657.768,10423.888
658.719,10532.108
659.669,10722.327
660.620,11151.321
661.571,11265.462
662.521,11268.729
663.472,10915.479
664.422,10246.839
665.373,9600.008
666.323,8897.807
667.274,8169.119
668.224,7598.266
669.175,7388.439
670.125,7426.375
671.076,7321.291
672.026,7171.109
672.977,7172.492
673.927,7227.478
674.878,7265.530
675.829,7254.836
676.779,7253.277
677.730,7332.286
678.680,7488.055
679.631,7745.763
680.581,8049.456
681.532,8419.127
682.482,8928.655
683.433,9418.505
684.383,9766.551
685.334,10046.206
686.284,10306.481
687.235,10685.678
688.185,11061.738
689.136,11118.386
690.087,11155.395
691.037,10910.552
691.988,10934.652
692.938,10829.539
693.889,10691.167
694.839,10612.876
695.790,10911.893
696.740,11377.945
697.691,11804.713
698.641,12317.759
699.592,12836.461
700.542,13251.227
701.493,13384.955
702.443,13406.274
703.394,13479.099
704.344,13359.848
705.295,13324.602
706.246,13078.194
707.196,12971.881
708.147,13246.733
709.097,13712.202
710.048,14141.246
710.998,14558.166
711.949,14756.784
712.899,14525.411
713.850,14207.198
714.800,14111.180
715.751,14176.037
716.701,14004.929
717.652,13767.784
718.602,13334.004
719.553,13237.272
720.504,13271.520
721.454,13389.040
722.405,13373.396
723.355,13246.015
724.306,12702.303
725.256,12256.438
726.207,11829.505
727.157,11776.678
728.108,11833.466
729.058,11798.755
730.009,11750.761
730.959,11945.283
731.910,12450.302
732.860,13142.195
733.811,13559.301
734.762,13372.130
735.712,13366.046
736.663,13047.132
737.613,12719.062
738.564,12310.120
739.514,12085.439
740.465,11950.940
741.415,11726.767
742.366,12280.853
743.316,12437.953
744.267,12687.438
745.217,12617.447
746.168,12369.948
747.118,12077.050
748.069,11668.337
749.020,11758.494
749.970,12035.150
750.921,12575.938
751.871,13109.330
752.822,13623.999
753.772,13787.525
754.723,13796.597
755.673,13666.355
756.624,13589.007
757.574,13500.828
758.525,13696.039
759.475,14043.585
760.426,14031.899
761.376,13697.245
762.327,13629.698
763.278,13560.636
764.228,13342.629
765.179,12608.901
766.129,11612.002
767.080,10324.627
768.030,9104.319
768.981,7418.771
