,frame,x_x,y_x,object_RSPO,object_TopFLASH,x_y,y_y,background_RSPO,background_TopFLASH,RSPO_corrected,TopFLASH_corrected,channel_1_name,channel_2_name,filename,position,condition,time
0,1,1148,957,305.6037969357194,3124.7040667310216,1866,1829,146.61258384693448,132.89403727630506,158.99121308878492,2991.8100294547166,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,0.25
1,2,1148,961,300.90534887750306,2891.848048315636,1960,1816,147.92804633548675,133.86324595925842,152.9773025420163,2757.9848023563773,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,0.5
2,3,1161,940,300.4848642360338,2978.195688225539,1918,1795,147.1525704809287,133.6094651122497,153.3322937551051,2844.586223113289,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,0.75
3,4,1174,867,301.948664637014,3194.327318630727,1909,1795,146.9440607905745,133.5529813618475,155.0046038464395,3060.77433726888,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,1.0
4,5,1178,833,297.0442563302889,3225.7472587312195,1905,1803,147.00314348654737,133.67396846612706,150.0411128437415,3092.0732902650925,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,1.25
5,6,1208,966,286.3322442513799,2519.9100022276675,1905,1803,147.09648276032772,133.70203707829015,139.2357614910522,2386.2079651493773,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,1.5
6,7,1178,919,290.61627187445856,2738.852082869236,1901,1803,146.82403900893542,133.62877156506028,143.79223286552315,2605.223311304176,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,1.75
7,8,1204,936,285.4901611346254,2572.277814905572,1901,1803,146.96881265315216,133.8637162446474,138.52134848147324,2438.414098660924,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,2.0
8,9,1200,936,283.9481200960372,2526.802603895944,1901,1803,147.07326551322987,133.79814856067918,136.87485458280733,2393.004455335264,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,2.25
9,10,1200,936,282.0174005593921,2427.2847949308184,1901,1803,147.02487562189054,134.0881908863642,134.99252493750157,2293.196604044454,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,2.5
10,11,1200,936,279.4042969233435,2387.059775748125,1901,1803,147.17086210737358,134.34756565431547,132.23343481596993,2252.712210093809,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,2.75
11,12,1200,906,278.89866587460705,2444.803024677607,1901,1803,147.21219771787827,134.61884606816662,131.68646815672878,2310.184178609441,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,3.0
12,13,1200,842,278.89356699091604,2644.979307442885,1901,1803,147.431870498255,135.28311180416327,131.46169649266105,2509.6961956387217,RSPO,TopFLASH,Position 10_RSPO_TOPFLASH_max_background_corrected.csv,10,IWR,3.25
