Distance_(µm),Gray_Value
0.000,925.563
0.347,927.822
0.694,930.149
1.041,932.526
1.388,934.981
1.735,937.531
2.082,940.131
2.429,942.776
2.776,945.490
3.123,948.215
3.470,951.079
3.817,953.977
4.164,956.894
4.511,959.889
4.858,962.960
5.205,966.051
5.552,969.174
5.899,972.349
6.246,975.589
6.593,978.834
6.940,982.053
7.287,985.328
7.634,988.622
7.981,991.974
8.328,995.242
8.675,998.523
9.022,1001.814
9.369,1005.170
9.716,1008.339
10.063,1011.638
10.410,1014.878
10.757,1018.020
11.104,1021.189
11.451,1024.329
11.798,1027.392
12.145,1030.380
12.492,1033.401
12.839,1036.262
13.186,1039.165
13.533,1041.999
13.880,1044.757
14.227,1047.463
14.574,1050.146
14.921,1052.731
15.268,1055.265
15.615,1057.760
15.962,1060.194
16.309,1062.557
16.656,1064.878
17.003,1067.173
17.350,1069.402
17.697,1071.553
18.044,1073.673
18.391,1075.753
18.738,1077.790
19.085,1079.779
19.432,1081.746
19.779,1083.671
20.126,1085.539
20.473,1087.423
20.820,1089.231
21.167,1091.043
21.514,1092.834
21.861,1094.579
22.208,1096.349
22.555,1098.090
22.902,1099.815
23.249,1101.537
23.596,1103.254
23.943,1104.973
24.290,1106.685
24.637,1108.402
24.984,1110.131
25.331,1111.848
25.678,1113.555
26.025,1115.277
26.372,1116.982
26.719,1118.692
27.066,1120.395
27.413,1122.094
27.760,1123.748
28.107,1125.402
28.454,1127.010
28.801,1128.602
29.148,1130.148
29.495,1131.664
29.842,1133.129
30.189,1134.530
30.536,1135.874
30.883,1137.166
31.230,1138.396
31.577,1139.583
31.924,1140.646
32.271,1141.704
32.618,1142.682
32.965,1143.594
33.312,1144.424
33.659,1145.231
34.006,1145.931
34.353,1146.674
34.700,1147.280
35.047,1147.934
35.394,1148.547
35.741,1149.157
36.088,1149.799
36.435,1150.439
36.782,1151.100
37.129,1151.816
37.476,1152.612
37.823,1153.464
38.170,1154.412
38.517,1155.436
38.864,1156.602
39.211,1157.870
39.558,1159.256
39.905,1160.799
40.252,1162.459
40.599,1164.314
