Distance_(µm),Gray_Value
0.000,346.396
0.347,347.228
0.694,348.091
1.041,348.950
1.388,349.844
1.735,350.731
2.082,351.635
2.429,352.531
2.776,353.431
3.123,354.305
3.470,355.219
3.817,356.099
4.164,356.969
4.511,357.866
4.858,358.738
5.205,359.590
5.552,360.443
5.899,361.278
6.246,362.107
6.593,362.906
6.940,363.644
7.287,364.443
7.634,365.179
7.981,365.902
8.328,366.587
8.675,367.274
9.022,367.910
9.369,368.577
9.716,369.128
10.063,369.724
10.410,370.263
10.757,370.767
11.104,371.258
11.451,371.737
11.798,372.127
12.145,372.490
12.492,372.845
12.839,373.144
13.186,373.440
13.533,373.666
13.880,373.891
14.227,374.077
14.574,374.218
14.921,374.317
15.268,374.403
15.615,374.442
15.962,374.456
16.309,374.441
16.656,374.408
17.003,374.340
17.350,374.231
17.697,374.141
18.044,373.993
18.391,373.841
18.738,373.660
19.085,373.479
19.432,373.267
19.779,373.020
20.126,372.771
20.473,372.536
20.820,372.265
21.167,371.982
21.514,371.731
21.861,371.420
22.208,371.126
22.555,370.839
22.902,370.557
23.249,370.268
23.596,369.975
23.943,369.685
24.290,369.401
24.637,369.133
24.984,368.879
25.331,368.646
25.678,368.442
26.025,368.232
26.372,368.047
26.719,367.921
27.066,367.802
27.413,367.730
27.760,367.679
28.107,367.686
28.454,367.703
28.801,367.784
29.148,367.919
29.495,368.098
29.842,368.288
30.189,368.572
30.536,368.889
30.883,369.270
31.230,369.694
31.577,370.158
31.924,370.683
32.271,371.268
32.618,371.875
32.965,372.550
33.312,373.256
33.659,374.011
34.006,374.827
34.353,375.673
34.700,376.549
35.047,377.494
35.394,378.476
35.741,379.445
36.088,380.484
36.435,381.526
36.782,382.580
37.129,383.710
37.476,384.829
37.823,385.968
38.170,387.142
38.517,388.311
38.864,389.488
39.211,390.681
39.558,391.896
39.905,393.116
40.252,394.310
40.599,395.530
40.946,396.759
41.293,397.981
41.640,399.212
41.987,400.414
42.334,401.629
42.681,402.832
43.028,404.038
43.375,405.211
43.722,406.371
44.069,407.543
44.416,408.708
44.763,409.847
45.110,410.970
45.457,412.063
45.804,413.169
46.151,414.235
46.498,415.301
46.845,416.318
47.192,417.318
47.539,418.299
47.886,419.248
48.233,420.198
48.580,421.104
48.927,421.982
49.274,422.819
49.621,423.648
49.968,424.427
50.315,425.173
50.662,425.877
51.009,426.562
51.356,427.213
51.703,427.799
52.050,428.395
52.397,428.904
52.744,429.384
53.091,429.844
53.438,430.247
53.785,430.603
54.132,430.937
54.479,431.256
54.826,431.501
55.173,431.711
55.520,431.922
55.867,432.044
56.214,432.154
56.561,432.257
56.908,432.291
57.255,432.341
57.602,432.344
57.949,432.320
58.296,432.302
58.643,432.262
58.990,432.184
59.337,432.135
59.684,432.060
60.031,431.972
