Distance_(µm),Gray_Value
0.000,8640.804
0.347,8683.957
0.694,8727.789
1.041,8771.155
1.388,8816.205
1.735,8861.469
2.082,8906.929
2.429,8952.046
2.776,8997.051
3.123,9040.880
3.470,9086.397
3.817,9130.542
4.164,9173.669
4.511,9217.220
4.858,9260.369
5.205,9302.594
5.552,9344.273
5.899,9385.424
6.246,9426.604
6.593,9466.614
6.940,9505.492
7.287,9544.451
7.634,9582.914
7.981,9621.845
8.328,9659.107
8.675,9695.706
9.022,9732.562
9.369,9770.421
9.716,9805.312
10.063,9841.763
10.410,9877.752
10.757,9913.029
11.104,9948.629
11.451,9984.258
11.798,10019.314
12.145,10053.680
12.492,10089.094
12.839,10123.498
13.186,10158.478
13.533,10192.993
13.880,10227.395
14.227,10261.653
14.574,10296.086
14.921,10329.796
15.268,10363.364
15.615,10396.795
15.962,10429.854
16.309,10462.401
16.656,10494.614
17.003,10526.316
17.350,10557.360
17.697,10587.740
18.044,10617.442
18.391,10646.320
18.738,10674.349
19.085,10701.470
19.432,10727.591
19.779,10752.657
20.126,10776.672
20.473,10799.537
20.820,10821.203
21.167,10841.765
21.514,10861.178
21.861,10879.350
22.208,10896.377
22.555,10912.364
22.902,10927.250
23.249,10941.295
23.596,10954.196
23.943,10966.610
24.290,10977.980
24.637,10989.117
24.984,10999.735
25.331,11009.777
25.678,11019.947
26.025,11029.950
26.372,11040.443
26.719,11050.941
27.066,11062.203
27.413,11073.369
27.760,11086.238
28.107,11099.010
28.454,11113.487
28.801,11128.866
29.148,11145.681
29.495,11163.108
29.842,11182.263
30.189,11202.647
30.536,11224.423
30.883,11247.360
31.230,11271.607
31.577,11297.154
31.924,11324.323
32.271,11351.975
32.618,11380.861
32.965,11410.702
33.312,11441.325
33.659,11472.604
34.006,11504.320
34.353,11536.751
34.700,11569.019
35.047,11601.577
35.394,11634.181
35.741,11666.519
36.088,11698.824
36.435,11730.181
36.782,11761.429
37.129,11791.714
37.476,11821.339
37.823,11850.347
38.170,11878.153
38.517,11905.293
38.864,11931.069
39.211,11956.519
39.558,11979.955
39.905,12002.843
40.252,12024.286
40.599,12045.040
40.946,12064.735
41.293,12082.782
41.640,12100.454
41.987,12117.246
42.334,12132.437
42.681,12147.341
43.028,12162.157
43.375,12175.668
43.722,12188.677
44.069,12201.792
44.416,12214.034
44.763,12226.700
45.110,12238.354
45.457,12251.438
45.804,12264.035
46.151,12276.529
46.498,12290.122
46.845,12304.227
47.192,12318.868
47.539,12334.242
47.886,12350.730
48.233,12368.008
48.580,12386.467
48.927,12406.149
49.274,12426.949
49.621,12449.169
49.968,12472.716
50.315,12497.710
50.662,12523.872
51.009,12552.014
51.356,12580.977
51.703,12611.611
52.050,12643.617
52.397,12676.880
52.744,12711.516
53.091,12747.623
53.438,12784.919
53.785,12822.982
54.132,12861.521
54.479,12901.650
54.826,12943.101
55.173,12982.555
55.520,13025.445
55.867,13066.425
56.214,13107.438
56.561,13150.936
56.908,13190.716
57.255,13232.021
57.602,13272.188
57.949,13310.705
58.296,13350.953
58.643,13388.126
58.990,13423.164
59.337,13458.136
59.684,13490.976
60.031,13522.628
60.378,13551.128
60.725,13581.118
61.072,13604.489
61.419,13628.421
61.766,13649.094
62.113,13669.537
62.460,13687.179
62.807,13702.345
63.154,13715.879
63.501,13726.511
63.848,13736.124
64.195,13743.571
64.542,13748.847
64.889,13753.746
65.236,13756.091
65.583,13756.674
65.930,13756.561
66.277,13754.554
66.624,13751.558
66.971,13747.168
67.318,13741.861
67.665,13735.176
68.012,13727.793
68.359,13719.429
68.706,13710.069
69.053,13699.937
69.400,13688.754
69.747,13677.336
70.094,13664.802
70.441,13651.304
70.788,13637.879
71.135,13622.547
71.482,13607.014
71.829,13591.143
72.176,13573.956
72.523,13556.685
72.870,13538.452
73.217,13518.884
73.564,13499.452
73.911,13479.276
74.258,13457.195
74.605,13435.222
74.952,13412.979
75.299,13388.562
75.646,13364.147
75.993,13339.133
76.340,13312.835
76.687,13286.007
77.034,13257.324
77.381,13228.394
77.728,13198.540
78.075,13167.448
78.422,13135.561
78.769,13102.549
79.116,13068.122
79.463,13032.994
79.810,12996.672
80.157,12959.495
80.504,12921.104
80.851,12881.287
81.198,12841.005
81.545,12799.310
81.892,12756.651
82.239,12713.326
82.586,12668.949
82.933,12623.671
83.280,12577.853
83.627,12531.316
83.974,12483.962
84.321,12436.239
84.668,12388.162
85.015,12339.728
85.362,12291.168
85.709,12242.429
86.056,12193.861
86.403,12144.924
86.750,12096.978
87.097,12048.767
87.444,12001.268
87.791,11954.400
88.138,11908.177
88.485,11862.628
88.832,11818.460
89.179,11774.613
89.526,11732.565
89.873,11691.330
90.220,11651.569
90.567,11613.190
90.914,11576.240
91.261,11540.922
91.608,11507.310
91.955,11475.259
92.302,11444.995
92.649,11416.530
92.996,11389.908
93.343,11365.081
93.690,11342.129
94.037,11321.003
94.384,11301.727
94.731,11284.262
95.078,11268.437
95.425,11254.526
95.772,11242.069
96.119,11231.376
96.466,11221.816
96.813,11213.997
97.160,11207.399
97.507,11201.460
97.854,11197.269
98.201,11193.695
98.548,11190.761
98.895,11189.007
99.242,11187.313
99.589,11186.507
99.936,11185.975
100.283,11185.666
100.630,11185.627
100.977,11185.932
101.324,11186.353
101.671,11186.547
102.018,11187.201
102.365,11187.715
102.712,11188.333
103.059,11188.985
103.406,11189.786
103.753,11190.617
104.100,11191.604
104.447,11192.743
104.794,11194.104
105.141,11195.676
105.488,11197.471
105.835,11199.529
106.182,11201.879
106.529,11204.513
106.876,11207.423
107.223,11210.599
107.570,11214.055
107.917,11217.692
108.264,11221.480
108.611,11225.528
108.958,11229.460
109.305,11233.502
109.652,11237.676
109.999,11241.330
110.346,11245.092
110.693,11248.337
111.040,11251.648
111.387,11254.151
111.734,11256.472
112.081,11257.937
112.428,11259.183
112.775,11259.785
113.122,11259.531
113.469,11259.188
113.816,11257.435
114.163,11255.770
114.510,11253.400
114.857,11250.097
115.204,11246.978
115.551,11243.040
115.898,11238.570
116.245,11234.236
116.592,11229.660
116.939,11224.587
117.286,11219.454
117.633,11215.009
117.980,11210.000
118.327,11205.582
118.674,11201.013
119.021,11197.000
119.368,11193.484
119.715,11190.156
120.062,11187.538
120.409,11185.023
120.756,11182.702
121.103,11181.240
121.450,11179.625
121.797,11179.038
122.144,11178.764
122.491,11178.036
122.838,11177.909
123.185,11178.072
123.532,11177.921
123.879,11178.284
124.226,11178.210
124.573,11178.289
124.920,11177.973
125.267,11177.402
125.614,11176.842
125.961,11175.905
126.308,11174.388
126.655,11172.776
127.002,11170.712
127.349,11168.287
127.696,11165.515
128.043,11162.416
128.390,11159.025
128.737,11155.331
129.084,11151.331
129.431,11147.256
129.778,11142.953
130.125,11138.613
130.472,11134.307
130.819,11129.856
131.166,11125.673
131.513,11121.472
131.860,11117.636
132.207,11113.804
132.554,11110.756
132.901,11107.822
133.248,11105.213
133.595,11103.168
133.942,11101.766
134.289,11100.775
134.636,11100.455
134.983,11100.694
135.330,11101.605
135.677,11103.146
136.024,11105.337
136.371,11108.145
136.718,11111.730
137.065,11115.818
137.412,11120.115
137.759,11125.526
138.106,11131.467
138.453,11137.148
138.800,11144.242
139.147,11150.323
139.494,11157.960
139.841,11164.784
140.188,11171.727
140.535,11179.283
140.882,11186.093
141.229,11192.705
141.576,11198.976
141.923,11204.544
142.270,11209.898
142.617,11214.338
142.964,11217.903
143.311,11220.832
143.658,11222.384
144.005,11223.130
144.352,11222.647
144.699,11220.998
145.046,11218.159
145.393,11213.985
145.740,11208.711
146.087,11201.712
146.434,11194.377
146.781,11184.791
147.128,11174.526
147.475,11162.930
147.822,11150.410
148.169,11136.444
148.516,11121.975
148.863,11107.102
149.210,11090.309
149.557,11073.981
149.904,11055.857
150.251,11037.646
150.598,11019.787
150.945,10999.564
151.292,10982.302
151.639,10961.164
151.986,10943.095
152.333,10922.703
152.680,10903.790
153.027,10884.003
153.374,10864.595
153.721,10844.986
154.068,10826.055
154.415,10807.120
154.762,10788.086
155.109,10769.094
155.456,10750.520
155.803,10732.193
156.150,10713.682
156.497,10695.777
156.844,10677.540
157.191,10659.664
157.538,10641.665
157.885,10624.346
158.232,10606.445
158.579,10588.857
158.926,10571.340
159.273,10553.901
159.620,10536.331
159.967,10518.918
160.314,10501.170
160.661,10483.925
161.008,10466.280
161.355,10448.711
161.702,10431.579
162.049,10413.720
162.396,10396.491
162.743,10379.157
163.090,10361.725
163.437,10344.727
163.784,10327.573
164.131,10310.833
164.478,10294.150
164.825,10277.742
165.172,10261.649
165.519,10245.921
165.866,10230.557
166.213,10215.551
166.560,10201.101
166.907,10187.057
167.254,10173.707
167.601,10160.864
167.948,10148.622
168.295,10137.018
168.642,10126.096
168.989,10115.818
169.336,10106.318
169.683,10097.623
170.030,10089.398
170.377,10082.086
170.724,10075.539
171.071,10069.422
171.418,10064.607
171.765,10059.494
172.112,10055.832
172.459,10052.274
172.806,10049.642
173.153,10047.453
173.500,10045.464
173.847,10044.503
174.194,10043.000
174.541,10042.960
174.888,10042.276
175.235,10043.025
175.582,10042.309
175.929,10043.044
176.276,10043.217
176.623,10043.135
176.970,10043.750
177.317,10043.629
177.664,10043.047
178.011,10043.098
178.358,10041.814
178.705,10040.066
179.052,10038.440
179.399,10035.609
179.746,10032.417
180.093,10028.357
180.440,10023.327
180.787,10017.388
181.134,10010.602
181.481,10002.874
181.828,9993.836
182.175,9984.054
182.522,9972.751
182.869,9960.316
183.216,9947.060
183.563,9932.545
183.910,9916.663
184.257,9899.950
184.604,9881.875
184.951,9862.804
185.298,9842.957
185.645,9821.817
185.992,9799.976
186.339,9777.161
186.686,9753.918
187.033,9729.535
187.380,9704.783
187.727,9679.229
188.074,9653.869
188.421,9627.177
188.768,9600.717
189.115,9573.787
189.462,9546.469
189.809,9519.128
190.156,9491.238
190.503,9463.777
190.850,9435.934
191.197,9407.426
191.544,9379.266
191.891,9351.014
192.238,9322.320
192.585,9293.808
192.932,9264.243
193.279,9235.284
193.626,9205.944
193.973,9176.175
194.320,9146.073
194.667,9115.812
195.014,9085.110
195.361,9054.408
195.708,9023.308
196.055,8991.547
196.402,8960.021
196.749,8927.876
197.096,8895.820
197.443,8863.034
197.790,8830.704
