Distance_(µm),Gray_Value
0.000,24756.500
0.347,24802.854
0.694,24846.125
1.041,24883.500
1.388,24920.506
1.735,24953.107
2.082,24981.578
2.429,25004.561
2.776,25022.812
3.123,25034.221
3.470,25044.691
3.817,25048.238
4.164,25045.816
4.511,25040.215
4.858,25030.039
5.205,25014.836
5.552,24995.424
5.899,24972.070
6.246,24945.881
6.593,24915.553
6.940,24881.625
7.287,24845.859
7.634,24807.957
7.981,24769.359
8.328,24728.051
8.675,24685.570
9.022,24643.162
9.369,24601.867
9.716,24558.297
10.063,24516.906
10.410,24476.189
10.757,24436.240
11.104,24398.027
11.451,24361.512
11.798,24326.598
12.145,24293.471
12.492,24262.830
12.839,24234.258
13.186,24207.965
13.533,24183.947
13.880,24162.291
14.227,24142.980
14.574,24125.494
14.921,24110.703
15.268,24098.086
15.615,24087.195
15.962,24078.094
16.309,24071.336
16.656,24065.787
17.003,24061.551
17.350,24059.281
17.697,24058.898
18.044,24058.637
18.391,24060.018
18.738,24062.049
19.085,24065.068
19.432,24069.303
19.779,24073.412
20.126,24078.656
20.473,24084.174
20.820,24090.850
21.167,24096.404
21.514,24102.861
21.861,24109.840
22.208,24116.721
22.555,24123.488
22.902,24130.363
23.249,24137.062
23.596,24143.742
23.943,24150.201
24.290,24156.457
24.637,24162.512
24.984,24168.258
25.331,24173.438
25.678,24178.447
26.025,24182.867
26.372,24187.137
26.719,24190.549
27.066,24193.756
27.413,24195.607
27.760,24197.771
28.107,24198.193
28.454,24198.623
28.801,24197.971
29.148,24196.699
29.495,24193.730
29.842,24190.164
30.189,24185.383
30.536,24179.379
30.883,24171.893
31.230,24163.064
31.577,24152.779
31.924,24141.180
32.271,24127.662
32.618,24112.557
32.965,24095.756
33.312,24077.053
33.659,24056.949
34.006,24034.172
34.353,24011.484
34.700,23985.098
35.047,23958.266
35.394,23930.104
35.741,23900.281
36.088,23870.117
36.435,23837.441
36.782,23805.318
37.129,23771.799
37.476,23738.354
37.823,23705.635
38.170,23672.236
38.517,23640.422
38.864,23608.451
39.211,23580.027
39.558,23550.025
39.905,23523.598
40.252,23498.000
40.599,23475.836
40.946,23456.035
41.293,23436.852
41.640,23422.434
41.987,23410.857
42.334,23399.629
42.681,23393.197
43.028,23391.857
43.375,23390.926
43.722,23393.000
44.069,23399.770
44.416,23407.100
44.763,23419.414
45.110,23430.670
45.457,23449.539
45.804,23468.080
46.151,23487.242
46.498,23510.830
46.845,23536.301
47.192,23562.953
47.539,23590.889
47.886,23621.338
48.233,23652.391
48.580,23685.203
48.927,23719.691
49.274,23754.365
49.621,23791.740
49.968,23829.332
50.315,23868.516
50.662,23908.994
51.009,23951.086
51.356,23994.053
51.703,24038.732
52.050,24084.990
52.397,24132.766
52.744,24182.449
53.091,24234.537
53.438,24288.828
53.785,24344.738
54.132,24401.771
54.479,24462.902
54.826,24527.924
55.173,24589.652
55.520,24660.836
55.867,24729.658
56.214,24800.846
56.561,24880.576
56.908,24954.686
57.255,25035.674
57.602,25117.498
57.949,25199.189
58.296,25288.977
58.643,25375.492
58.990,25460.963
59.337,25550.354
59.684,25638.600
60.031,25727.914
60.378,25813.320
60.725,25905.801
61.072,25985.330
61.419,26068.945
61.766,26147.061
62.113,26226.553
62.460,26300.695
62.807,26369.699
63.154,26435.219
63.501,26493.590
63.848,26548.941
64.195,26597.863
64.542,26640.014
64.889,26679.268
65.236,26709.990
65.583,26733.674
65.930,26752.678
66.277,26763.945
66.624,26769.396
66.971,26767.938
67.318,26760.789
67.665,26746.883
68.012,26727.832
68.359,26703.092
68.706,26672.961
69.053,26638.162
69.400,26598.365
69.747,26555.723
70.094,26508.564
70.441,26457.781
70.788,26405.820
71.135,26349.131
71.482,26291.535
71.829,26233.154
72.176,26172.453
72.523,26112.230
72.870,26051.178
73.217,25989.105
73.564,25928.738
73.911,25868.900
74.258,25808.254
74.605,25749.953
74.952,25693.459
75.299,25636.783
75.646,25582.656
75.993,25530.320
76.340,25479.301
76.687,25430.268
77.034,25382.514
77.381,25336.867
77.728,25292.904
78.075,25250.592
78.422,25209.822
78.769,25170.572
79.116,25132.945
79.463,25096.447
79.810,25061.271
80.157,25026.982
80.504,24993.861
80.851,24962.336
81.198,24930.619
81.545,24900.463
81.892,24871.070
82.239,24841.766
82.586,24813.486
82.933,24786.086
83.280,24758.689
83.627,24732.186
83.974,24706.902
84.321,24681.977
84.668,24657.703
85.015,24634.475
85.362,24612.072
85.709,24590.910
86.056,24570.588
86.403,24552.969
86.750,24534.783
87.097,24519.969
87.444,24506.346
87.791,24494.547
88.138,24485.016
88.485,24478.229
88.832,24472.379
89.179,24471.600
89.526,24470.990
89.873,24474.934
90.220,24481.131
90.567,24490.654
90.914,24503.773
91.261,24519.770
91.608,24538.354
91.955,24561.424
92.302,24587.428
92.649,24617.271
92.996,24649.037
93.343,24684.535
93.690,24724.486
94.037,24766.533
94.384,24811.080
94.731,24859.383
95.078,24908.541
95.425,24962.205
95.772,25016.492
96.119,25074.240
96.466,25131.010
96.813,25191.816
97.160,25253.385
97.507,25313.070
97.854,25377.273
98.201,25440.223
98.548,25502.434
98.895,25567.115
99.242,25628.857
99.589,25692.330
99.936,25754.416
100.283,25815.545
100.630,25875.939
100.977,25936.334
101.324,25995.641
101.671,26052.293
102.018,26109.879
102.365,26165.355
102.712,26219.898
103.059,26273.283
103.406,26325.820
103.753,26377.035
104.100,26427.244
104.447,26476.352
104.794,26524.436
105.141,26571.469
105.488,26617.320
105.835,26662.184
106.182,26705.982
106.529,26748.664
106.876,26790.098
107.223,26830.486
107.570,26869.557
107.917,26907.525
108.264,26944.264
108.611,26979.586
108.958,27013.688
109.305,27046.447
109.652,27077.955
109.999,27108.010
110.346,27136.973
110.693,27164.510
111.040,27191.377
111.387,27216.613
111.734,27241.291
112.081,27264.510
112.428,27287.646
112.775,27310.125
113.122,27331.584
113.469,27354.129
113.816,27374.447
114.163,27396.938
114.510,27419.328
114.857,27440.883
115.204,27465.562
115.551,27489.836
115.898,27514.477
116.245,27542.029
116.592,27570.949
116.939,27599.889
117.286,27630.492
117.633,27665.693
117.980,27700.010
118.327,27738.082
118.674,27776.279
119.021,27817.617
119.368,27861.662
119.715,27906.592
120.062,27954.570
120.409,28002.936
120.756,28051.801
121.103,28104.070
121.450,28155.051
121.797,28210.041
122.144,28265.730
122.491,28318.635
122.838,28373.688
123.185,28429.488
123.532,28483.127
123.879,28538.768
124.226,28591.898
124.573,28645.344
124.920,28696.518
125.267,28745.988
125.614,28796.174
125.961,28844.727
126.308,28888.670
126.655,28934.266
127.002,28976.023
127.349,29017.277
127.696,29056.330
128.043,29093.590
128.390,29129.215
128.737,29163.305
129.084,29196.344
129.431,29227.566
129.778,29257.715
130.125,29286.609
130.472,29314.471
130.819,29341.727
131.166,29368.146
131.513,29394.121
131.860,29419.652
132.207,29444.902
132.554,29470.129
132.901,29495.344
133.248,29520.533
133.595,29545.988
133.942,29572.148
134.289,29598.150
134.636,29625.098
134.983,29652.473
135.330,29680.465
135.677,29709.141
136.024,29738.516
136.371,29768.586
