,bin_center,tail,Phase,dnorm,normalized intensity,Distance_(microns),Gray_Value,Gray_Value_smooth
0,0.0245,1,1,0.024848803706680977,0.3541345914156286,17.910813333333333,516.3126266666667,516.000795647841
1,0.0245,2,2,0.02487553163748396,0.3841707855631448,17.03711267605634,559.8432535211267,559.7657947584797
2,0.0245,3,2,0.024999929929553973,0.2933416453361688,19.65821686746988,427.36634939759034,427.4208904163828
3,0.0245,4,1,0.02483651647301068,0.24720326399682807,18.34766233766234,360.4263506493507,360.1937907257406
4,0.0245,5,1,0.02484462815311502,0.3786686530117805,17.473972602739725,552.207397260274,551.7487728603512
5,0.0245,6,2,0.024719217908063515,0.32091307427866905,17.025940298507464,467.69298507462685,467.5945408203354
6,0.0245,7,1,0.024741412392383873,0.43707620889053417,16.381838235294115,637.2638970588235,636.8529847499798
7,0.0245,8,2,0.02498487765383002,0.2603477767225541,19.876642857142855,379.34125,379.3463366483654
8,0.0245,9,1,0.024774696795185916,0.39513907133324244,18.566089743589743,576.686,575.7474139548402
9,0.0245,10,3,0.0248898379225482,0.2550663000333544,20.0169875,371.964225,371.6508269752534
10,0.0245,11,3,0.02481471754626674,0.2643082337071757,16.381838235294115,385.05938235294116,385.1170210286307
11,0.0245,12,1,0.024840218979050515,0.416391367378768,17.03711267605634,606.4100985915493,606.7136113686483
12,0.0245,13,1,0.024969099664440816,0.36401568183790894,19.439792682926832,530.7697682926829,530.3982892656868
13,0.0245,14,2,0.024832125159791517,0.43949947465801426,17.910813333333333,640.3412133333334,640.3838656477973
14,0.0245,15,2,0.02471474631999498,0.4680067210101233,18.784518987341773,681.5155316455696,681.9210725628744
15,0.07500000000000001,1,1,0.07488242927324328,0.396286493460696,50.45614864864865,577.553027027027,577.419294491399
16,0.07500000000000001,2,2,0.07498219781832823,0.42449457885662667,47.835057142857146,618.8771571428571,618.5206013414819
17,0.07500000000000001,3,2,0.07530483171113755,0.32233733122308367,55.698341463414636,469.73926829268294,469.66979055402317
18,0.07500000000000001,4,1,0.07516334751290912,0.2847781895145493,51.98512987012987,414.8258701298701,414.943289739795
19,0.07500000000000001,5,1,0.07487918645598729,0.39182592483593764,49.14559722222222,571.0563333333333,570.9199097512176
20,0.07500000000000001,6,2,0.07490648533620273,0.36073818605868907,47.85671641791045,526.3982089552239,525.6227308457949
21,0.07500000000000001,7,1,0.0749630273420815,0.500607688399942,46.08764705882353,728.9996764705883,729.4231396294958
22,0.07500000000000001,8,2,0.07525581929861098,0.34767045632166965,56.35361445783133,506.6777108433735,506.5820635258969
23,0.07500000000000001,9,1,0.07496779584194216,0.4725563807423369,52.640397435897434,687.9381794871795,688.5502697626304
24,0.07500000000000001,10,3,0.07498435482346519,0.27552131138129016,56.59975949367089,401.43132911392405,401.45532048244894
25,0.07500000000000001,11,3,0.07481475859335031,0.3134885736144618,45.86922388059701,457.0247462686567,456.77648366668507
26,0.07500000000000001,12,1,0.07487575503838147,0.4661594427126019,47.835057142857146,679.8849571428572,679.22944882882
27,0.07500000000000001,13,1,0.07521573263069452,0.40747274007198164,55.04306172839507,593.8094074074074,593.7184990640524
28,0.07500000000000001,14,2,0.07516773827841784,0.5051004067848485,50.674573333333335,735.9172133333333,735.9693689937792
29,0.07500000000000001,15,2,0.07477815019532663,0.5004665272857307,53.29567088607595,730.0468987341773,729.2174572448511
30,0.125,1,1,0.12491596890813729,0.40990191919228036,83.00142666666666,597.42064,597.2579961626968
31,0.125,2,2,0.1250887801238114,0.42533818664961104,78.6329295774648,619.7171971830986,619.749801490088
32,0.125,3,2,0.12530482792847283,0.3556232336436069,91.52000000000001,517.9776829268293,518.1698595932783
33,0.125,4,1,0.1251633127423924,0.2949411144086214,85.40409210526316,429.78082894736843,429.7514374287503
34,0.125,5,1,0.12491365612438046,0.39041278266867985,80.81717808219179,568.7051780821918,568.8608550857198
35,0.125,6,2,0.12509372576881533,0.358724287966199,78.68746268656717,522.290656716418,522.6883295100639
36,0.125,7,1,0.12518457046748985,0.5262960350745489,75.79341176470588,766.826,766.8529972155283
37,0.125,8,2,0.12522571433708218,0.4007822476575549,92.6121204819277,583.8107590361445,583.9699472625474
38,0.125,9,1,0.1251608214461038,0.4989822588236491,86.71465384615385,727.7213846153845,727.0547662060359
39,0.125,10,3,0.12507888200411563,0.30102797721049057,93.1825375,438.6568125,438.62045538096027
40,0.125,11,3,0.12481473860326349,0.3673325510796926,75.35655882352941,535.3296029411765,535.2312177886491
41,0.125,12,1,0.12491120734141861,0.487248396863552,78.6329295774648,709.4118591549295,709.9576447889247
42,0.125,13,1,0.12515406445273444,0.415804231721568,90.42787654320988,605.9783827160494,605.8581104556838
43,0.125,14,2,0.1251676953414224,0.5257744598880454,83.21985135135135,766.2933648648649,766.0930228505555
44,0.125,15,2,0.124841494902318,0.507746019378861,87.80677215189873,739.4321139240507,739.8242259791681
45,0.175,1,1,0.1749495746230069,0.4091410839213505,115.54674324324326,595.8901081081082,596.1494018184184
46,0.175,2,2,0.1751954340470682,0.44325396586882576,109.43084285714285,645.3819571428571,645.8544423691711
47,0.175,3,2,0.17530484116779937,0.369496365493059,127.34167073170731,538.308243902439,538.3840585051352
48,0.175,4,1,0.17516332808232624,0.28909521588706094,118.82311688311687,421.1467792207792,421.23352259771514
49,0.175,5,1,0.17494819455629756,0.393244649365718,112.48879166666667,573.1854722222222,572.9870983397298
50,0.175,6,2,0.17490646662748474,0.38780858572474586,109.28815151515151,564.7455757575757,565.0663438245577
51,0.175,7,1,0.17503689526745292,0.5361461031933047,105.28077611940299,781.6934776119404,781.2052889985646
52,0.175,8,2,0.17519560937555334,0.3889119453291992,128.87065060240963,567.2955180722892,566.6740219435115
53,0.175,9,1,0.17503214657579347,0.5177438841606292,120.5705064935065,754.4145194805194,754.3918686416642
54,0.175,10,3,0.1751733988809583,0.3465662046145258,129.76530379746836,504.83258227848097,504.97308554607287
55,0.175,11,3,0.1751851306217042,0.3543669485375476,105.06235294117647,516.2442941176471,516.339357490403
56,0.175,12,1,0.17494673116056264,0.4944194782139405,109.43084285714285,720.5771571428571,720.4064508986703
57,0.175,13,1,0.17509241950593402,0.4017485908927902,125.8127037037037,585.3405308641975,585.3779822027578
58,0.175,14,2,0.17516771779414925,0.5304913323237602,115.76517333333335,772.8524266666667,772.9658615644151
59,0.175,15,2,0.17490486817333567,0.48930101178547136,122.3178987341772,712.6627215189874,712.9484594637497
60,0.225,1,1,0.22498313866471065,0.42432595123319017,148.09202666666667,618.3829333333333,618.2748981823704
61,0.225,2,2,0.22494664510416632,0.4669742930732595,140.0103142857143,680.3153428571428,680.4167472306859
62,0.225,3,2,0.2253048487331288,0.32620225187002283,163.16335365853658,475.4040243902439,475.30127128840803
63,0.225,4,1,0.22516331274239235,0.3021936357418791,152.24209210526314,440.2517763157895,440.31890773277865
64,0.225,5,1,0.224982667263778,0.39110999897815685,144.1603698630137,569.5052602739726,569.8767518073323
65,0.225,6,2,0.22471919685155275,0.3847942388861006,139.88886567164178,561.2670149253731,560.6742132482085
66,0.225,7,1,0.2248891566130065,0.5431222048708635,134.76811764705883,791.2720147058824,791.3699950267193
67,0.225,8,2,0.2251655247081568,0.4164024748980489,165.1291686746988,605.8632168674699,606.7297958615659
68,0.225,9,1,0.22490345257498165,0.5070767508617349,154.42634615384614,738.7840256410257,738.8490512978171
69,0.225,10,3,0.22495286994991237,0.3631365975900622,166.11801265822785,529.4008101265822,529.1173972480018
70,0.225,11,3,0.22518509996251843,0.36520671358167783,134.54968656716417,531.8961492537313,532.1337123006687
71,0.225,12,1,0.22498217790648223,0.5000167533430728,140.2287323943662,728.6009577464788,728.5621027048007
72,0.225,13,1,0.2250307745591335,0.4262535030171205,161.19753086419752,620.7911481481482,621.0834864374306
73,0.225,14,2,0.2251677008777112,0.5701385821209304,148.31044594594596,830.6599729729729,830.7348932729784
74,0.225,15,2,0.22496823940406577,0.5126370017771762,156.8290253164557,747.1258987341772,746.9507560335796
75,0.275,1,1,0.2750167592144886,0.4329213257288193,180.63735135135136,630.320527027027,630.799006773136
76,0.275,2,2,0.27505330575636583,0.4912644993126149,170.80821126760563,716.5691549295775,715.8094088056388
77,0.275,3,2,0.27530486197245535,0.32242315162327934,198.98502439024392,469.85074390243904,469.79483734656253
78,0.275,4,1,0.2751633475129091,0.3321911233482764,185.66112987012986,484.1275844155844,484.0275084951672
79,0.275,5,1,0.2750172197222517,0.40011681811940036,175.832,583.2886944444444,583.0003662629541
80,0.275,6,2,0.27490643458461267,0.36522245387937047,170.7196119402985,532.2670447761194,532.1566471009678
81,0.275,7,1,0.2751107660377588,0.5556378706273153,164.47389705882352,809.6965,809.6062635103367
82,0.275,8,2,0.2751354289712335,0.4179836434800838,201.3877108433735,609.6283975903615,609.0336776798372
83,0.275,9,1,0.27509653483485913,0.47268557684223894,188.50064102564102,688.4665256410257,688.7385182194602
84,0.275,10,3,0.2750473660987679,0.3749844914385828,202.700775,546.45555,546.3806717226851
85,0.275,11,3,0.2748147636549693,0.40556087591123774,163.81862686567163,590.9916417910448,590.932768858565
86,0.275,12,1,0.2750177098615369,0.5011476659379706,171.02664285714286,730.5663571428571,730.209927607877
87,0.275,13,1,0.27496913542012297,0.4673394574204591,196.58234567901235,682.0185308641975,680.9488192119742
88,0.275,14,2,0.2748321676354295,0.5765300099330485,180.63735135135136,840.4661486486486,840.0476854043408
89,0.275,15,2,0.27503162899738426,0.5465294559331059,191.340164556962,796.3590632911393,796.3346166754008
90,0.32499999999999996,1,1,0.32505031297640113,0.4583604244139535,213.18262666666666,668.2049466666666,667.8656912492856
91,0.32499999999999996,2,2,0.3251599174873334,0.5012798221804212,201.60612857142857,729.4596428571429,730.4024892155466
92,0.32499999999999996,3,2,0.3249999971279767,0.30147161556614843,234.58827160493829,439.1990370370371,439.2668699082287
93,0.32499999999999996,4,1,0.3251633127423923,0.35999337210350385,219.08009210526316,524.8016184210527,524.5374807663014
94,0.32499999999999996,5,1,0.3250517120669113,0.43734899191477294,207.5035890410959,636.9503150684932,637.2504501796734
95,0.32499999999999996,6,2,0.32509368581543596,0.34444246094653785,201.55037313432837,501.5456417910447,501.8786309262821
96,0.32499999999999996,7,1,0.3249630696862521,0.5720531752747969,193.96125373134328,833.1716865671641,833.5245998271669
97,0.32499999999999996,8,2,0.32510534061399476,0.40857617460625795,237.64621686746986,595.0677469879518,595.3262863614068
98,0.32499999999999996,9,1,0.3249678279168712,0.5023792723709796,222.35648051948053,731.7244155844156,732.0044710237497
99,0.32499999999999996,10,3,0.3251418831922795,0.3956921699175083,239.2835443037975,576.6056455696203,576.5533202867011
100,0.32499999999999996,11,3,0.32481477794659946,0.3981832103441985,193.30598529411765,580.4683529411765,580.1829539720886
101,0.32499999999999996,12,1,0.3250531916935709,0.5401055731466534,201.82454929577463,786.1365492957747,786.9745351998591
102,0.32499999999999996,13,1,0.3249074827296027,0.47797120705852136,231.9671728395062,695.3223580246913,696.4400798946398
103,0.32499999999999996,14,2,0.3248321388159705,0.6015920319040332,213.18262666666666,875.9182533333334,876.5649406825585
104,0.32499999999999996,15,2,0.3250949839058136,0.5696415710703261,225.85127848101266,830.1980759493671,830.0107107057447
105,0.375,1,1,0.37508391379759765,0.4659438895750072,245.72794594594592,679.404445945946,678.9153716581638
106,0.375,2,2,0.3749111853585313,0.541221783866333,232.1856,789.3169857142857,788.6009383624616
107,0.375,3,2,0.374999987854456,0.32702881291728414,270.40993975903615,476.33966265060246,476.5056330434499
108,0.375,4,1,0.3751633280823262,0.3702900297412893,252.4991168831169,539.5618441558441,539.5404871441083
109,0.375,5,1,0.37508624001230756,0.4455331720032413,239.17520833333336,649.5496527777777,649.1754175218739
