 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,55295.624,11382.826,7178.941,2431.951,648.835,883.093,505.106,764.479
2,36655.621,12746.385,7366.114,1888.230,457.812,929.759,360.141,791.998
3,44399.312,13977.948,7598.268,2431.486,648.224,965.005,407.556,821.019
4,45721.406,13775.198,7791.662,2421.769,494.450,991.094,393.606,803.760
5,20309.267,11965.232,7596.267,984.094,177.036,955.568,175.348,781.086
6,28370.418,12304.351,7297.222,1223.242,227.380,961.447,171.299,790.244
7,24803.084,12571.134,8363.688,1291.531,285.984,1005.478,292.273,852.620
8,35776.394,13203.281,8811.489,1890.333,541.660,1033.446,435.379,902.699
9,32967.227,15021.621,8830.723,1658.792,430.496,1050.063,330.537,954.377
10,33269.179,15972.843,8620.618,1776.328,464.703,1069.163,123.241,957.447
11,22040.021,13323.299,7577.455,1041.735,243.078,986.645,198.504,851.255
12,32614.973,11560.916,6968.895,1577.066,342.433,947.959,344.979,802.765
13,42682.277,12620.743,6882.082,2188.153,521.876,995.683,414.366,829.058
14,48743.209,13396.965,6993.207,2431.095,681.749,979.319,546.348,825.228
15,53975.621,13982.250,6935.579,2926.984,704.515,934.884,562.997,764.816
16,36922.666,13460.853,7031.500,1958.158,486.140,979.362,362.963,746.946
17,37886.652,13260.420,7212.546,2058.240,480.956,954.873,339.375,740.133
18,36512.503,14477.913,7851.890,1889.755,473.844,974.033,351.077,835.336
19,40817.882,16546.276,8272.870,2244.967,459.001,1093.521,397.318,966.188
20,46705.203,15800.195,8306.400,2603.218,584.223,1036.247,491.046,1001.011
21,55052.966,16537.004,8495.004,2647.107,705.679,1043.289,569.200,979.198
22,51408.238,15394.298,8506.578,2497.683,683.305,1031.218,500.507,904.869
23,50452.121,14838.561,8509.274,2448.040,760.407,1004.022,508.447,892.945
24,58821.785,15524.152,8261.552,2909.009,731.899,1031.575,573.378,864.043
25,34748.712,15395.230,7788.328,1771.654,383.665,990.320,362.632,829.123
26,37109.525,14630.572,7255.831,2010.293,480.403,1000.471,378.118,782.978
27,51984.684,16626.061,7586.095,2696.298,754.999,1001.784,562.996,881.126
28,52404.295,18334.070,8175.845,2824.486,763.472,1059.358,596.572,960.480
29,57245.218,17894.900,8234.654,2777.225,865.023,1054.319,669.542,964.033
30,52613.562,17238.936,8514.467,2524.665,722.565,1022.989,559.161,874.840
31,64273.165,16892.298,8670.072,3038.995,810.448,1017.289,620.081,868.482
32,60959.624,15011.825,8368.698,2903.406,714.615,1089.972,594.920,813.418
33,60980.880,14858.736,8094.394,2777.952,763.863,1121.282,584.541,865.053
34,54615.775,14358.299,8149.962,2862.090,703.338,1093.879,463.858,838.312
35,40004.092,14154.253,7987.010,2214.688,517.288,1071.058,335.727,801.605
36,34487.205,15173.171,8285.328,1948.045,430.275,1034.634,282.168,794.272
37,22331.161,19168.098,8983.278,1205.772,244.308,1064.971,171.221,835.565
38,49289.680,20170.162,9270.409,2786.598,515.132,1076.228,396.233,914.572
39,23382.082,20252.095,9137.277,1834.504,406.175,1061.748,339.439,910.393
40,5745.763,19918.068,9182.250,323.975,160.880,1089.058,87.884,903.754
41,29438.169,19146.073,8898.139,1587.098,406.383,1096.304,299.430,947.684
42,37279.929,17895.942,8413.840,2016.911,505.684,1096.505,372.161,918.342
43,46391.890,19010.546,8050.789,2377.238,687.253,1082.870,541.396,915.003
44,54603.134,19216.755,8085.700,2875.788,847.844,1092.293,595.233,918.541
45,57358.158,19710.088,8061.742,2872.042,793.838,1033.383,644.450,889.927
46,54984.041,19919.166,8475.821,3091.828,839.647,1069.364,572.517,885.494
47,48860.903,19268.695,9009.501,2729.782,659.960,1120.051,528.155,919.896
48,48196.415,20145.450,8895.107,2578.286,741.351,1111.899,556.788,913.444
49,35400.195,20129.041,9045.755,2023.359,533.575,1128.335,327.626,934.853
50,53046.962,20302.373,9031.665,3051.010,777.050,1123.034,502.192,906.569
