 ,Ctrl+ nuclei,Ctrl- nuclei,Ctrl+ membranes,Ctrl- membranes,Channel #2 in nuclei,Channel #2 in membranes,Channel #4 in nuclei,Channel #4 in membranes
1,5578.294,3739.109,4592.709,516.087,1240.305,6689.971,330.969,1287.547
2,12291.984,4630.576,4722.971,873.327,1939.695,7622.879,532.004,1527.390
3,18630.864,4547.230,4459.242,1323.376,2921.195,7586.924,907.541,1497.205
4,20000.601,4250.444,4532.602,1169.664,3606.111,6475.440,935.616,1358.151
5,22491.587,4735.775,4436.651,1322.164,3828.561,6615.520,1132.159,1453.708
6,20032.160,4866.069,4362.485,1373.308,3242.210,6770.212,947.025,1443.729
7,19878.231,4760.717,4630.435,1516.597,3233.697,6469.031,984.589,1487.633
8,14603.950,4662.723,4670.995,958.797,2525.024,5784.564,882.366,1425.122
9,15179.128,3648.655,4513.611,907.708,2469.963,4843.494,739.702,1187.745
10,24031.526,3647.111,4373.432,1290.653,3315.648,4695.873,919.692,1130.525
11,28943.965,4048.739,4453.496,1352.654,3559.361,5111.091,927.191,1274.641
12,29630.244,4108.923,4568.273,1461.525,3632.474,5097.013,1079.263,1229.193
13,25184.088,3694.983,4406.564,1540.564,3140.599,4782.676,993.189,1273.248
14,22031.114,3553.237,4425.649,1582.199,2778.836,4378.897,1009.698,1241.601
15,14296.492,3835.627,4384.715,1190.529,2052.058,4258.656,752.815,1169.185
16,21170.292,4047.218,4339.235,1461.360,2916.580,4573.866,891.119,1138.069
17,25033.024,3970.350,4519.424,1638.555,3444.401,4636.443,981.224,1159.141
18,23680.077,4931.941,4512.664,1545.958,2941.400,5427.439,935.413,1290.359
19,28005.910,5325.665,4443.375,1437.490,3565.849,5706.969,998.061,1463.199
20,27308.707,5324.575,4443.058,1280.285,3397.567,5145.696,892.137,1458.075
21,25754.972,5081.325,4441.554,1369.575,3542.309,4854.072,835.142,1379.003
22,27051.226,4941.359,4496.808,1368.788,3916.027,4666.841,1044.675,1239.364
23,30135.657,5203.083,4405.708,1522.028,4273.668,4647.431,1121.833,1227.863
